"countrycode","country","currency_unit","year","rgdpe","rgdpo","pop","emp","avh","hc","ccon","cda","cgdpe","cgdpo","cn","ck","ctfp","cwtfp","rgdpna","rconna","rdana","rnna","rkna","rtfpna","rwtfpna","labsh","irr","delta","xr","pl_con","pl_da","pl_gdpo","i_cig","i_xm","i_xr","i_outlier","i_irr","cor_exp","statcap","csh_c","csh_i","csh_g","csh_x","csh_m","csh_r","pl_c","pl_i","pl_g","pl_x","pl_m","pl_n","pl_k","rgdpo.pop","Country Name","Barro-Lee: Percentage of population age 15+ with tertiary schooling. Completed Tertiary","Barro-Lee: Percentage of population age 15+ with tertiary schooling. Total (Incomplete and Completed Tertiary)","Barro-Lee: Percentage of population age 20-24 with tertiary schooling. Completed Tertiary","Barro-Lee: Percentage of population age 20-24 with tertiary schooling. Total (Incomplete and Completed Tertiary)","Barro-Lee: Percentage of population age 25+ with tertiary schooling. Completed Tertiary","Barro-Lee: Percentage of population age 25+ with tertiary schooling. Total (Incomplete and Completed Tertiary)","Duration of compulsory education (years)","Elderly literacy rate, population 65+ years, adjusted gender parity index (GPIA)","Elderly literacy rate, population 65+ years, adjusted location parity index (LPIA)","Elderly literacy rate, population 65+ years, both sexes (%)","Human Capital Index (HCI): Expected Years of School, Total","Human Capital Index (HCI): Expected Years of School, Female","Human Capital Index (HCI): Expected Years of School, Male","Number of years of free pre-primary education guaranteed in legal frameworks","Number of years of free primary and secondary education guaranteed in legal frameworks","yrs_sch","fdi","voc","Years.Ratio","European.Average","gen","year_orig","log.rgdpo.pop"
"AUT","Austria","Euro",1950,40357.28906,41605.02734,6.980751368,2.934920311,2085.669553,2.552640438,35652.45313,43636.98047,40887.86328,41518.45703,121749.4219,NA,NA,NA,56946.14844,46796.94531,62728.69922,263725.125,NA,NA,NA,0.632960439,0.065484546,0.030959964,1.447642793,0.061186995,0.068684347,0.067641146,"Extrapolated","Extrapolated","Market-based","Regular","Regular",NA,NA,0.679234028,0.192312762,0.179479346,0.052682213,-0.093219712,-0.010488632,0.065444484,0.102161445,0.045074649,0.088723786,0.091317534,0.078298226,NA,5959.964071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.89,0.4821047,NA,0.9235772,0.8937096,1,-20,8.69281973168552
"AUT","Austria","Euro",1951,41846.48047,43706.10547,6.98110463,2.99060607,2083.015656,2.537035942,36933.19531,46773.1875,42685.76172,43585.21484,128034.3438,NA,NA,NA,60474.61328,48494.62891,67619.59375,275235.7813,NA,NA,NA,0.632960439,0.065379947,0.032378677,1.553018201,0.072617427,0.081535973,0.079853341,"Extrapolated","Extrapolated","Market-based","Regular","Regular",NA,NA,0.665827215,0.225764424,0.181551769,0.058130145,-0.109926969,-0.021346606,0.076776944,0.115010649,0.057362698,0.103733532,0.108907752,0.090543211,NA,6260.62891,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4821047,NA,NA,NA,NA,-19,8.74203592390412
"AUT","Austria","Euro",1952,43857.64844,44922.38672,6.973375097,2.923521996,2080.365137,2.521526814,37750.47656,45815.10547,44963.01563,45118.83594,130991.9219,NA,NA,NA,60239.30078,49460.35547,64793.49609,281373.125,NA,NA,NA,0.632960439,0.069960125,0.033329997,1.553018201,0.082708851,0.089763828,0.089453824,"Extrapolated","Extrapolated","Market-based","Regular","Regular",NA,NA,0.657172024,0.178741917,0.179517925,0.056320384,-0.082817718,0.011065457,0.087113902,0.122788168,0.066583008,0.11740426,0.112262525,0.097969264,NA,6441.986283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4821047,NA,NA,NA,NA,-18,8.77059220058121
"AUT","Austria","Euro",1953,46026.79688,47309.0625,6.97811726,2.891931534,2077.717989,2.506112576,40384.26172,46573.64844,47256.82813,47730.43359,131556.0625,NA,NA,NA,62218.33203,52851.28516,64380.06641,283039.75,NA,NA,NA,0.632960439,0.061056923,0.033317462,1.773944007,0.070152149,0.076894864,0.076131873,"Extrapolated","Extrapolated","Market-based","Regular","Regular",NA,NA,0.670848429,0.129673809,0.175241947,0.06746956,-0.07519649,0.031962771,0.072913386,0.120889477,0.059581768,0.101701476,0.108974725,0.095820524,NA,6779.631344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4821047,NA,NA,NA,NA,-17,8.82167800541482
"AUT","Austria","Euro",1954,49078.17188,50657.71875,6.985893831,2.976327658,2075.074211,2.490792513,42747.98047,50912.10547,50271.27344,51001.19531,134504.7188,0.011802988,0.659008801,0.657492101,67352.9375,56022.05469,71849.89063,289468.375,0.086031601,0.484568238,0.508657753,0.632960439,0.070522696,0.033152908,1.88949369,0.06867753,0.076125078,0.075035587,"Extrapolated","Extrapolated","Market-based","Regular","Regular",NA,NA,0.665935993,0.160077155,0.172240019,0.074912012,-0.094848998,0.021683825,0.071455918,0.115121014,0.057935361,0.098309033,0.104883552,0.090393864,0.840399683,7251.429806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4821047,NA,NA,NA,NA,-16,8.88895394302516
"AUT","Austria","Euro",1955,53920.03906,55541.88672,6.992613975,3.12647891,2072.433796,2.475566149,46631.9375,57844.81641,55079.12109,55802.47656,141368.3125,0.012076502,0.67063874,0.694635212,75065.11719,61331.22656,83742.22656,302844.3438,0.090976194,0.515269935,0.565642893,0.632960439,0.080246843,0.033683926,1.88949369,0.070836626,0.079675309,0.078642488,"Extrapolated","Extrapolated","Market-based","Regular","Regular",NA,NA,0.673175156,0.200938717,0.162485614,0.074833229,-0.118620791,0.00718808,0.073442332,0.116433479,0.060041226,0.101718985,0.102226056,0.089952268,0.840675116,7942.936206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.64,0.4821047,NA,0.9268707,0.89167875,1,-15,8.98003828512662
"AUT","Austria","Euro",1956,58295.65625,59629.85938,6.998124099,3.221801043,2069.796741,2.461072206,48667.86719,59270.73828,59338.42188,59770.51172,146617.4219,0.012031522,0.697389007,0.694098055,79692.41406,64589.50781,85305.9375,313487.9688,0.094423018,0.531856179,0.560218811,0.632960439,0.085982062,0.034283414,1.88949369,0.074570835,0.082227193,0.081632756,"Extrapolated","Extrapolated","Market-based","Regular","Regular",NA,NA,0.660242379,0.177393004,0.154003084,0.093656249,-0.118973881,0.033679198,0.076270863,0.117370419,0.067282461,0.104352735,0.104472511,0.091960698,0.92193085,8520.834803,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4821047,NA,NA,NA,NA,-14,9.05026959659625
"AUT","Austria","Euro",1957,61308.07813,62760.4375,7.01171366,3.295096636,2067.163042,2.44666338,50640.28516,62017.35156,62390.98828,62839.86328,152311.0938,0.012132434,0.70781678,0.703329265,84319.71094,67338.39844,89381.42969,325074.4688,0.098162673,0.549408555,0.573079407,0.632960439,0.088374883,0.034556005,1.88949369,0.0787092,0.086575173,0.085956752,"Extrapolated","Extrapolated","Market-based","Regular","Regular",NA,NA,0.648573101,0.181048542,0.157289371,0.102444761,-0.127223775,0.037868023,0.079736516,0.121587299,0.07447312,0.105890349,0.106805198,0.095992185,0.954643607,8950.798698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4821047,NA,NA,NA,NA,-13,9.09949804728725
"AUT","Austria","Euro",1958,64191.60547,65324.33984,7.033353378,3.321739912,2064.532693,2.432338715,53469.38281,64987.59766,65403.38672,65802.03906,157391.7188,0.012135516,0.734624505,0.723719656,87404.57813,71141.70313,93214.17969,336109.8438,0.101625368,0.561985195,0.589757919,0.632960439,0.090860806,0.034767032,1.88949369,0.07869482,0.085783072,0.085263371,"Extrapolated","Extrapolated","Market-based","Regular","Regular",NA,NA,0.653240144,0.175043464,0.159339279,0.093703382,-0.11680977,0.035483535,0.08008869,0.118687868,0.072980404,0.107648581,0.107614599,0.094603121,0.969115198,9287.794361,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4821047,NA,NA,NA,NA,-12,9.13645638284408
"AUT","Austria","Euro",1959,66691.54688,67548.26563,7.060503701,3.371424675,2061.905692,2.418097973,55443.54688,67519.6875,67623.88281,67823.16406,162745.5781,0.012102362,0.73238939,0.727473438,89975.29688,74403.85156,97286.96094,347542.625,0.105234563,0.568373621,0.604736865,0.632960439,0.088382021,0.034921501,1.88949369,0.08070685,0.088240154,0.087980881,"Extrapolated","Extrapolated","Market-based","Regular","Regular",NA,NA,0.658474207,0.178053349,0.158997893,0.093674317,-0.122152694,0.032952949,0.082409501,0.122826807,0.073655494,0.109230496,0.1063895,0.098963283,0.936727881,9567.060438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4821047,NA,NA,NA,NA,-11,9.16608127299907
