"countrycode","country","currency_unit","year","rgdpe","rgdpo","pop","emp","avh","hc","ccon","cda","cgdpe","cgdpo","cn","ck","ctfp","cwtfp","rgdpna","rconna","rdana","rnna","rkna","rtfpna","rwtfpna","labsh","irr","delta","xr","pl_con","pl_da","pl_gdpo","i_cig","i_xm","i_xr","i_outlier","i_irr","cor_exp","statcap","csh_c","csh_i","csh_g","csh_x","csh_m","csh_r","pl_c","pl_i","pl_g","pl_x","pl_m","pl_n","pl_k","rgdpo.pop","Country Name","Barro-Lee: Percentage of population age 15+ with tertiary schooling. Completed Tertiary","Barro-Lee: Percentage of population age 15+ with tertiary schooling. Total (Incomplete and Completed Tertiary)","Barro-Lee: Percentage of population age 20-24 with tertiary schooling. Completed Tertiary","Barro-Lee: Percentage of population age 20-24 with tertiary schooling. Total (Incomplete and Completed Tertiary)","Barro-Lee: Percentage of population age 25+ with tertiary schooling. Completed Tertiary","Barro-Lee: Percentage of population age 25+ with tertiary schooling. Total (Incomplete and Completed Tertiary)","Duration of compulsory education (years)","Elderly literacy rate, population 65+ years, adjusted gender parity index (GPIA)","Elderly literacy rate, population 65+ years, adjusted location parity index (LPIA)","Elderly literacy rate, population 65+ years, both sexes (%)","Human Capital Index (HCI): Expected Years of School, Total","Human Capital Index (HCI): Expected Years of School, Female","Human Capital Index (HCI): Expected Years of School, Male","Number of years of free pre-primary education guaranteed in legal frameworks","Number of years of free primary and secondary education guaranteed in legal frameworks","yrs_sch","fdi","voc","Years.Ratio","European.Average","gen","year_orig","log.rgdpo.pop"
"GBR","United Kingdom","Pound Sterling",1950,499090.9688,523645.375,50.07424538,23.20790291,2183.943622,2.434504271,468524,543966.625,489859.6875,503021.4688,1330190.75,NA,NA,NA,609157.1875,490513.0313,574459.75,1619237.75,NA,NA,NA,0.551431835,0.229749337,0.026970912,0.357371403,0.079810806,0.078837499,0.076774679,"Extrapolated","Extrapolated","Market-based","Regular","Outlier",NA,NA,0.759771168,0.149978936,0.171648324,0.152398407,-0.147597581,-0.086199276,0.081503913,0.072792947,0.072316557,0.074098781,0.089125335,0.047823861,NA,10457.37926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.49,1.77323,NA,1.050553,0.8937096,1,-20,9.25506315746916
"GBR","United Kingdom","Pound Sterling",1951,506361.5313,540520.25,50.23707585,23.55317307,2192.663847,2.444693804,471049.875,578318.875,499639.4375,518355.1875,1419655.5,NA,NA,NA,635156.0625,492840.4688,605507,1728060.75,NA,NA,NA,0.551431835,0.191500828,0.028760279,0.357271356,0.086880274,0.086428635,0.083308034,"Extrapolated","Extrapolated","Market-based","Regular","Regular",NA,NA,0.725177646,0.206941128,0.183561966,0.159157664,-0.172976032,-0.101862364,0.089346871,0.084445357,0.077135757,0.083894789,0.103975505,0.057378843,NA,10759.38917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.77323,NA,NA,NA,NA,-19,9.28353406351702
"GBR","United Kingdom","Pound Sterling",1952,512638.2188,538868.625,50.37692791,23.54019928,2160.85856,2.454926014,475408.5625,566071,508422.6563,520745.3438,1476983.375,NA,NA,NA,640130.4375,494954.4688,589486.625,1795796.375,NA,NA,NA,0.551431835,0.187532887,0.030139109,0.357271356,0.092547596,0.091735028,0.089564249,"Extrapolated","Extrapolated","Market-based","Regular","Regular",NA,NA,0.710645974,0.174101338,0.202292681,0.150459781,-0.152553439,-0.084946334,0.095248245,0.087474152,0.083060339,0.091014199,0.106462464,0.0602073,NA,10696.73454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.77323,NA,NA,NA,NA,-18,9.27769379069457
"GBR","United Kingdom","Pound Sterling",1953,543159.9375,566292.6875,50.53975457,23.65295982,2164.779889,2.465200901,497974.9688,600233.375,539570.75,550404.8125,1545314.5,NA,NA,NA,669658.625,516972.1875,624005.8125,1878175.75,NA,NA,NA,0.551431835,0.190288767,0.030920289,0.357371403,0.093926497,0.093133137,0.091299921,"Extrapolated","Extrapolated","Market-based","Regular","Regular",NA,NA,0.705537558,0.185787648,0.199205548,0.141739592,-0.145014033,-0.087256305,0.096735142,0.089269638,0.083978944,0.089671507,0.103494354,0.06093508,NA,11204.89587,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.77323,NA,NA,NA,NA,-17,9.32410609301916
"GBR","United Kingdom","Pound Sterling",1954,563550.5,587976.5625,50.71157444,23.98725319,2168.931003,2.475518942,513206.0938,620094.4375,558228.3125,570292.625,1615828.875,0.136713296,0.763658464,0.829884648,689562.75,533869.125,646707.8125,1962946.25,0.11421556,0.78598839,0.703795254,0.551431835,0.192114577,0.031660724,0.357271356,0.096148707,0.095063195,0.093052171,"Extrapolated","Extrapolated","Market-based","Regular","Regular",NA,NA,0.708294988,0.187427208,0.191604629,0.142966062,-0.142811373,-0.087481521,0.098786846,0.089851283,0.086396426,0.089333847,0.104641214,0.060734391,1.229587078,11594.52391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.77323,NA,NA,NA,NA,-16,9.35828818890702
"GBR","United Kingdom","Pound Sterling",1955,585641.4375,611781.8125,50.89238371,24.24670601,2167.362952,2.485880136,529661.25,649669.0625,578483.3125,588934.5625,1702176,0.140622064,0.74206537,0.817946553,709619.375,552200.1875,679712.0625,2065067,0.120908879,0.782293856,0.715426981,0.551431835,0.183749512,0.032454889,0.357271356,0.099820159,0.099132024,0.097372815,"Extrapolated","Extrapolated","Market-based","Regular","Regular",NA,NA,0.715917945,0.203771099,0.183437124,0.141526252,-0.151508138,-0.093144231,0.102528088,0.096094914,0.089251645,0.095163994,0.108118251,0.064114772,1.152989984,12021.08779,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.73,1.77323,NA,1.0347432,0.89167875,1,-15,9.39441770233058
"GBR","United Kingdom","Pound Sterling",1956,601808,624797.1875,51.1301322,24.46224785,2153.779598,2.49860096,528825.875,653581.1875,592271.5,599574.5625,1784443.625,0.143006623,0.732670605,0.80159986,716726.5,555784.1875,686150.375,2163178,0.127293795,0.768841147,0.702745914,0.551431835,0.178474605,0.033274017,0.357371403,0.105819389,0.10454008,0.103266723,"Extrapolated","Extrapolated","Market-based","Regular","Regular",NA,NA,0.70250088,0.20807308,0.179500967,0.143690094,-0.147459596,-0.08630541,0.10812813,0.099117182,0.096783809,0.101334482,0.110796869,0.067167304,1.202902675,12219.7452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.77323,NA,NA,NA,NA,-14,9.41080838144437
"GBR","United Kingdom","Pound Sterling",1957,613594.8125,637094.25,51.37587551,24.49118805,2132.252318,2.511386871,533868.375,666447.3125,603895.1875,609784.375,1867226.125,0.146281421,0.723491728,0.796127796,725624.125,562631.875,699604.4375,2263838,0.133930877,0.762418807,0.701827407,0.551431835,0.173761889,0.034076665,0.357371403,0.110095009,0.108166434,0.107121781,"Extrapolated","Extrapolated","Market-based","Regular","Regular",NA,NA,0.700342596,0.217419341,0.175160959,0.142155632,-0.148382351,-0.08669614,0.112094387,0.10040047,0.102100939,0.105770975,0.113522135,0.068717934,1.17018497,12400.64999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.77323,NA,NA,NA,NA,-13,9.42550416876771
"GBR","United Kingdom","Pound Sterling",1958,620489.875,639945.375,51.597642,24.22674751,2102.453274,2.524238586,542992.3125,672924.1875,611598.75,615616.125,1936080.75,0.148304969,0.726968169,0.792656898,727962.375,572920.5,706340.125,2349770,0.139497086,0.759287179,0.703407407,0.551431835,0.167880401,0.034788541,0.35717131,0.113630474,0.111427896,0.110700749,"Extrapolated","Extrapolated","Market-based","Regular","Regular",NA,NA,0.710725427,0.211059868,0.171305239,0.13260226,-0.138941526,-0.086751267,0.115553513,0.102223217,0.10565199,0.109576389,0.115348384,0.070694663,1.177205324,12402.60892,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.77323,NA,NA,NA,NA,-12,9.42566212623703
"GBR","United Kingdom","Pound Sterling",1959,642533.0625,662077.75,51.90132292,23.70984268,2112.238031,2.537155628,554198.4375,698148.1875,630232.3125,634981.3125,2017196.375,0.150796488,0.725717545,0.796117842,750903.875,589666.6875,735213.6875,2449120,0.145962045,0.772478878,0.722123981,0.551431835,0.17154938,0.035407513,0.357271356,0.117452092,0.113869593,0.113017969,"Extrapolated","Extrapolated","Market-based","Regular","Regular",NA,NA,0.703120828,0.226699173,0.169658303,0.130962208,-0.140834674,-0.089605868,0.119167782,0.100077167,0.110341705,0.110744879,0.117552765,0.07000874,1.104968905,12756.47156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.77323,NA,NA,NA,NA,-11,9.45379399514813
