countrycode,country,currency_unit,year,rgdpe,rgdpo,pop,emp,avh,hc,ccon,cda,cgdpe,cgdpo,cn,ck,ctfp,cwtfp,rgdpna,rconna,rdana,rnna,rkna,rtfpna,rwtfpna,labsh,irr,delta,xr,pl_con,pl_da,pl_gdpo,i_cig,i_xm,i_xr,i_outlier,i_irr,cor_exp,statcap,csh_c,csh_i,csh_g,csh_x,csh_m,csh_r,pl_c,pl_i,pl_g,pl_x,pl_m,pl_n,pl_k,rgdpo.pop,Country Name,Barro-Lee: Percentage of population age 15+ with tertiary schooling. Completed Tertiary,Barro-Lee: Percentage of population age 15+ with tertiary schooling. Total (Incomplete and Completed Tertiary),Barro-Lee: Percentage of population age 20-24 with tertiary schooling. Completed Tertiary,Barro-Lee: Percentage of population age 20-24 with tertiary schooling. Total (Incomplete and Completed Tertiary),Barro-Lee: Percentage of population age 25+ with tertiary schooling. Completed Tertiary,Barro-Lee: Percentage of population age 25+ with tertiary schooling. Total (Incomplete and Completed Tertiary),Duration of compulsory education (years),"Elderly literacy rate, population 65+ years, adjusted gender parity index (GPIA)","Elderly literacy rate, population 65+ years, adjusted location parity index (LPIA)","Elderly literacy rate, population 65+ years, both sexes (%)","Human Capital Index (HCI): Expected Years of School, Total","Human Capital Index (HCI): Expected Years of School, Female","Human Capital Index (HCI): Expected Years of School, Male",Number of years of free pre-primary education guaranteed in legal frameworks,Number of years of free primary and secondary education guaranteed in legal frameworks,yrs_sch,fdi,voc,voc_pc,Years.Ratio,European.Average,gen,year_orig,rgdpo.pop.roll,log.rgdpo.pop,log.rgdpo.pop.roll
AUT,Austria,Euro,1970,111881.2422,111568.6328,7.516239,3.265043259,1890.137419,2.616613865,88495.10156,114806.4297,114248.0547,114421.9297,283949.75,0.01272406,0.935062468,0.935555756,155271.6406,115946.0781,169610.25,606366.125,0.190617278,0.808984697,0.869563758,0.632960439,0.093434185,0.03689215,1.88949369,0.12064714,0.134558588,0.134354129,Extrapolated,Extrapolated,Market-based,Regular,Regular,NA,NA,0.62313354,0.229950085,0.150276795,0.150817856,-0.194482312,0.040304024,0.118877277,0.18134813,0.127985999,0.164386719,0.158698812,0.138812229,1.177064061,14843.67817,Austria,1.45,2.48,1.59,4.2,1.7,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.26,0.73277795,1,30.13,0.7717391,0.9013237,0,0,14849.1872,9.605329341,9.605700409
AUT,Austria,Euro,1975,136149.0938,136221.3125,7.637689,3.394333839,1903.97165,2.703165293,109346.1563,140870.9688,140016.7031,136563.3594,387218.0313,0.014663758,0.94648385,0.985325634,188300.1875,145872.2031,205122.3438,823614.625,0.264760405,0.827370942,0.886877537,0.632960439,0.077024862,0.037592854,1.265724584,0.269086003,0.286097497,0.293332189,Benchmark,Extrapolated,Market-based,Regular,Regular,0.731230215,NA,0.641156137,0.230843902,0.159542903,0.178023338,-0.252405077,0.04283876,0.259229362,0.345103055,0.308696955,0.304446042,0.271603733,0.302455962,1.589296937,17835.4097,Austria,1.62,2.8,1.74,4.6,1.92,2.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.44,0.19748269,1,33.04,0.7796209,0.9104558,0,5,18023.84753,9.788941069,9.799451023
AUT,Austria,Euro,1980,152980.4688,152806.375,7.609752,3.511729717,1881.035385,2.792579889,121524.8516,161799.2188,157413.8125,149388.875,463223.75,0.014954457,0.916046321,0.998856246,221313.8906,170612.1875,246415.5,1030851.438,0.338253379,0.858713865,0.940825343,0.632960439,0.069837131,0.037266307,0.940241128,0.499692947,0.521271408,0.549273312,Benchmark,Extrapolated,Market-based,Regular,Regular,0.785926497,NA,0.640613377,0.269594193,0.172866538,0.243391991,-0.383202583,0.056736484,0.484191865,0.586382926,0.557137191,0.481067926,0.426808685,0.56228137,1.87632215,20080.33573,Austria,1.55,2.71,0.38,1,2.15,3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.6,0.29161975,1,37.77,0.7936694,0.932804,0,10,19818.82317,9.907496293,9.89438743
AUT,Austria,Euro,1985,158950.5,158705.0469,7.614868,3.431707859,1821.530301,2.877571583,116927.0391,164654,163474.8281,157509.4844,713077.9375,0.019899895,0.795531392,0.804222167,238064.2969,185360.2031,258119.125,1192381.25,0.39446789,0.887071133,0.94642359,0.632960439,0.065661632,0.036388014,1.503564603,0.452623844,0.424459308,0.44053477,Benchmark,Benchmark,Market-based,Regular,Regular,0.836859579,NA,0.580796003,0.303010076,0.161553159,0.294507891,-0.386292636,0.046425514,0.43761161,0.355458438,0.506594002,0.368797421,0.342340082,0.325687349,0.741664648,20841.47052,Austria,2.47,4.33,3.09,8.24,2.77,4.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.84,0.24380429,1,41.14,0.8145161,0.9449358,0,15,21257.5339,9.944700056,9.964466648
AUT,Austria,Euro,1990,208007.2344,205574.1563,7.723949,3.560341358,1826.029778,2.965149879,146782.7031,213043.4063,211851.3281,203457.8594,942584,0.023756007,0.824837983,0.853076935,276407.0313,210615.5781,302837.625,1383012.375,0.469809502,0.924519479,0.996731043,0.632960439,0.06574402,0.036922615,0.826278012,0.837805927,0.785776615,0.818193078,Interpolated,Benchmark,Market-based,Regular,Regular,NA,NA,0.586113513,0.325672895,0.135326803,0.37463811,-0.465004265,0.043252945,0.780311763,0.67051965,1.086818933,0.549449444,0.528678894,0.592414916,1.120874524,26615.16231,Austria,2.97,5.09,0.62,1.65,3.92,6.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.26,0.39227846,1,42.97,0.84392416,0.9564895,0,20,26436.62587,10.18923634,10.18250567
AUT,Austria,Euro,1995,259853.6563,250433.9375,7.990121,3.5849545,1774.436388,3.040141344,177309.3125,263880.375,260516.125,246852.9844,1234466.375,0.027993698,0.862062812,0.91035217,308509.5,234812.0781,339554.0313,1619981,0.561770558,0.964403331,1.044480205,0.632960439,0.06141698,0.037495516,0.732650875,1.013220429,0.925295711,0.976510167,Benchmark,Benchmark,Market-based,Regular,Regular,NA,NA,0.585021675,0.350698888,0.133257285,0.378297269,-0.470961928,0.023686791,0.917025745,0.745213866,1.435531139,0.616626561,0.571190536,0.690053105,1.053691268,31342.94681,Austria,5.21,8.81,7.28,19.35,5.34,8.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.93,0.7571786,1,39.42,0.86534446,0.97792596,0,25,31209.04659,10.35274454,10.34846329
AUT,Austria,Euro,2000,314579.6875,306927.5625,8.069276,3.759931087,1798.432211,3.11702919,223583.0469,309764.5,312851.0938,309127.9375,1200857.375,0.021857014,0.943799317,0.909738421,357462.0938,262783.3125,379889.5625,1870413.5,0.675213337,0.986845851,1.031995654,0.596380055,0.071069896,0.038340919,1.085400833,0.643312693,0.629052103,0.636628389,Benchmark,Benchmark,Market-based,Regular,Regular,NA,NA,0.579758227,0.278788924,0.143512011,0.414344817,-0.450148165,0.033744209,0.591506541,0.592055321,0.852598846,0.497126311,0.491356492,0.579018652,0.976705611,38036.56765,Austria,7.06,11.8,8.08,21.37,7.58,11.61,9,NA,NA,NA,NA,NA,NA,0,12,9.43,4.3089004,1,34.96,0.882353,0.9831894,0,30,36734.44506,10.54630328,10.51147015
AUT,Austria,Euro,2005,343994.0938,357373.0313,8.25365,3.862365246,1752.489349,3.19888401,248613.9375,340505.8125,351104.8125,350025.0625,1196751.375,0.019858744,0.975826323,0.88057977,390156.9688,283013.125,404532.8125,2091478.625,0.777548194,0.999717057,1.019982338,0.563615024,0.079605266,0.039809041,0.80412,0.929748774,0.89992094,0.902697027,Benchmark,Benchmark,Market-based,Regular,Regular,0.880433149,NA,0.566923022,0.262529433,0.143351629,0.591509461,-0.600830913,0.03651733,0.85679841,0.819221497,1.218250751,0.56992954,0.57059747,0.935749173,1.350503206,43298.78675,Austria,8.27,13.65,2.08,5.46,10.17,15.42,9,NA,NA,NA,NA,NA,NA,0,12,9.89,25.655828,1,38.39,0.8982725,0.9951139,0,35,42146.86906,10.67587989,10.64891568
AUT,Austria,Euro,2010,392208.2813,385229.0625,8.409949,4.096951008,1665.843868,3.282888174,279960.7813,382631.6563,396089.5625,379239.9375,1799280.875,0.027400728,0.864428222,0.841090143,416311.125,304158.4688,424873.5938,2290600.25,0.867969334,0.997557819,1.001799822,0.576476157,0.06619519,0.040910829,0.755044952,1.035784006,0.98940438,1.033363581,Benchmark,Benchmark,Market-based,Regular,Regular,NA,NA,0.575460374,0.270727992,0.162755102,0.575607896,-0.633838594,0.04928726,0.960742593,0.862937272,1.30111146,0.664243281,0.628180146,0.852187693,0.980673015,45806.34942,Austria,9.37,15.36,1.97,5.14,11.53,17.39,9,NA,NA,NA,NA,NA,NA,1,12,10.13,-5.610176,1,39.53,0.91856056,1.0017622,0,40,46593.11545,10.73217799,10.74920807
AUT,Austria,Euro,2015,448794.7188,430623.875,8.67866,4.278239727,1605.280548,3.337063313,304717.0938,431483.2188,448293.9688,428539.7188,2450585.75,0.032894254,0.832901061,0.80856359,438764.625,312078.1875,444765.5313,2463467.75,0.956083,0.996383011,0.993864059,0.578767776,0.061808299,0.042541876,0.901658962,0.907746673,0.851712406,0.890973568,ICP PPP timeseries: benchmark or interpolated,Benchmark,Market-based,Regular,Regular,0.837325305,NA,0.539104044,0.295809478,0.171955094,0.51533854,-0.566652417,0.04444522,0.870685577,0.717018843,1.023938417,0.657824695,0.609175682,0.631614149,0.662997067,49618.70554,Austria,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,1,12,10.27,-2.0880566,1,35.98,0.9441816,1.0013992,0,45,48823.9,10.81212317,10.79597533
