Entity,Code,Year,"Average years of schooling gender ratio, 15-64 year olds",European Average,gen
Afghanistan,AFG,1870,1,0.6803806,1
Afghanistan,AFG,1875,1,0.72006744,1
Afghanistan,AFG,1880,1,0.71230674,1
Afghanistan,AFG,1885,1,0.74484974,1
Afghanistan,AFG,1890,1,0.7323949,1
Afghanistan,AFG,1895,1,0.73334885,1
Afghanistan,AFG,1900,1,0.74124956,1
Afghanistan,AFG,1905,1,0.7462808,1
Afghanistan,AFG,1910,0.5,0.7642406,0
Afghanistan,AFG,1915,0.25,0.786808,0
Afghanistan,AFG,1920,0.19999999,0.8292929,0
Afghanistan,AFG,1925,0.16666667,0.8511387,0
Afghanistan,AFG,1930,0.14285713,0.8785189,0
Afghanistan,AFG,1935,0.125,0.88710433,0
Afghanistan,AFG,1940,0.18181817,0.88484544,0
Afghanistan,AFG,1945,0.16666666,0.89290285,0
Afghanistan,AFG,1950,0.17021276,0.8937096,0
Afghanistan,AFG,1955,0.1509434,0.89167875,0
Afghanistan,AFG,1960,0.13846155,0.90418684,0
Afghanistan,AFG,1965,0.13157895,0.8961946,0
Afghanistan,AFG,1970,0.13709678,0.9013237,0
Afghanistan,AFG,1975,0.13939394,0.9104558,0
Afghanistan,AFG,1980,0.16666667,0.932804,0
Afghanistan,AFG,1985,0.18815333,0.9449358,0
Afghanistan,AFG,1990,0.21726191,0.9564895,0
Afghanistan,AFG,1995,0.25396824,0.97792596,0
Afghanistan,AFG,2000,0.26483053,0.9831894,0
Afghanistan,AFG,2005,0.28235295,0.9951139,0
Afghanistan,AFG,2010,0.38078293,1.0017622,0
Afghanistan,AFG,2015,0.5623003,1.0013992,0
Afghanistan,AFG,2020,0.7125926,1.0072972,0
Africa,,1870,0.10099368,0.6803806,0
Africa,,1875,0.08352475,0.72006744,0
Africa,,1880,0.074014574,0.71230674,0
Africa,,1885,0.06117203,0.74484974,0
Africa,,1890,0.064837925,0.7323949,0
Africa,,1895,0.06382824,0.73334885,0
Africa,,1900,0.12553339,0.74124956,0
Africa,,1905,0.21800879,0.7462808,0
Africa,,1910,0.29702055,0.7642406,0
Africa,,1915,0.36125177,0.786808,0
Africa,,1920,0.42103922,0.8292929,0
Africa,,1925,0.45974714,0.8511387,0
Africa,,1930,0.5092746,0.8785189,0
Africa,,1935,0.5549296,0.88710433,0
Africa,,1940,0.56852806,0.88484544,0
Africa,,1945,0.57956994,0.89290285,0
Africa,,1950,0.5526342,0.8937096,0
Africa,,1955,0.53931254,0.89167875,0
Africa,,1960,0.5247982,0.90418684,0
Africa,,1965,0.51305085,0.8961946,0
Africa,,1970,0.52579385,0.9013237,0
Africa,,1975,0.5448542,0.9104558,0
Africa,,1980,0.5572146,0.932804,0
Africa,,1985,0.5897002,0.9449358,0
Africa,,1990,0.6502244,0.9564895,0
Africa,,1995,0.7033309,0.97792596,0
Africa,,2000,0.73514533,0.9831894,0
Africa,,2005,0.7800801,0.9951139,0
Africa,,2010,0.8292929,1.0017622,0
Africa,,2015,0.8663694,1.0013992,0
Africa,,2020,0.8989947,1.0072972,0
Albania,ALB,1870,1,0.6803806,1
Albania,ALB,1875,1,0.72006744,1
Albania,ALB,1880,1,0.71230674,1
Albania,ALB,1885,1.25,0.74484974,1
Albania,ALB,1890,1.5,0.7323949,1
Albania,ALB,1895,1.5999999,0.73334885,1
Albania,ALB,1900,1.2857144,0.74124956,1
Albania,ALB,1905,1.2222222,0.7462808,1
Albania,ALB,1910,1,0.7642406,1
Albania,ALB,1915,0.96,0.786808,1
Albania,ALB,1920,0.87179494,0.8292929,1
Albania,ALB,1925,0.8545454,0.8511387,1
Albania,ALB,1930,0.8472222,0.8785189,0
Albania,ALB,1935,0.82608694,0.88710433,0
Albania,ALB,1940,0.76859504,0.88484544,0
